-10.0328	-10.2724	28.6487
-10.0471	-10.0924	28.9039
-10.0418	-9.8899	29.1339
-10.0167	-9.66801	29.3353
-9.97215	-9.43026	29.5054
-9.90858	-9.18047	29.6419
-9.82687	-8.92262	29.7434
-9.72816	-8.66072	29.809
-9.61389	-8.39873	29.8387
-9.48572	-8.14043	29.8328
-9.34548	-7.88933	29.7924
-9.19517	-7.64862	29.719
-9.03688	-7.42108	29.6147
-8.87273	-7.20908	29.4817
-8.70485	-7.01454	29.3225
-8.53535	-6.83897	29.1399
-8.36623	-6.68347	28.9368
-8.19941	-6.54874	28.7159
-8.03667	-6.43517	28.4801
-7.87963	-6.34285	28.2322
-7.72978	-6.27163	27.9749
-7.58841	-6.22115	27.7106
-7.45668	-6.19093	27.4419
-7.33556	-6.18034	27.1711
-7.22588	-6.1887	26.9002
-7.12833	-6.21525	26.6314
-7.04343	-6.25924	26.3666
-6.97161	-6.3199	26.1075
-6.91317	-6.39646	25.856
-6.86832	-6.48817	25.6135
-6.83717	-6.59428	25.3817
-6.81974	-6.71408	25.162
-6.81601	-6.84685	24.9559
-6.82587	-6.99188	24.7648
-6.84915	-7.14842	24.5901
-6.88564	-7.31575	24.433
-6.93507	-7.49306	24.2949
-6.99712	-7.6795	24.177
-7.07141	-7.87414	24.0805
-7.15751	-8.07598	24.0067
-7.25493	-8.28386	23.9566
-7.3631	-8.49654	23.9313
-7.48139	-8.71259	23.9318
-7.60909	-8.93045	23.9589
-7.74538	-9.14836	24.0133
-7.88936	-9.36438	24.0955
-8.04003	-9.57642	24.2058
-8.19625	-9.78217	24.3444
-8.35678	-9.97918	24.5109
-8.52025	-10.1649	24.7047
-8.68518	-10.3365	24.925
-8.84996	-10.4913	25.1704
-9.01287	-10.6266	25.4389
-9.17209	-10.7396	25.7283
-9.32572	-10.8277	26.0358
-9.47183	-10.8886	26.3581
-9.60843	-10.9204	26.6914
-9.73357	-10.9213	27.0316
-9.84534	-10.8902	27.3742
-9.94196	-10.8266	27.7144
-10.0217	-10.7306	28.0472
-10.0833	-10.6029	28.3677
-10.1253	-10.445	28.6709
-10.1469	-10.2589	28.9522
-10.1476	-10.0476	29.2073
-10.1269	-9.81415	29.4325
-10.0851	-9.56248	29.6244
-10.0226	-9.29668	29.7806
-9.94026	-9.02111	29.8992
-9.83923	-8.74018	29.9791
-9.72099	-8.45827	30.0202
-9.58731	-8.1796	30.0228
-9.44014	-7.90807	29.9879
-9.28163	-7.64724	29.9171
-9.11403	-7.40021	29.8126
-8.93964	-7.16963	29.6769
-8.76079	-6.95763	29.5127
-8.57976	-6.7659	29.323
-8.39874	-6.59562	29.1108
-8.21981	-6.44759	28.8793
-8.04491	-6.32219	28.6316
-7.87583	-6.2195	28.3705
-7.71415	-6.13933	28.0991
-7.5613	-6.08125	27.82
-7.41852	-6.0447	27.5358
-7.28686	-6.02898	27.2491
-7.16721	-6.03329	26.9619
-7.0603	-6.05683	26.6766
-6.96669	-6.09874	26.3951
-6.88683	-6.15819	26.1193
-6.82105	-6.23436	25.8509
-6.76955	-6.32643	25.5916
-6.73245	-6.43365	25.343
-6.70979	-6.55527	25.1067
-6.70152	-6.69057	24.8842
-6.70755	-6.83884	24.6768
-6.72772	-6.99937	24.486
-6.7618	-7.17143	24.3131
-6.80955	-7.35428	24.1596
-6.87064	-7.5471	24.0266
-6.94471	-7.74902	23.9156
-7.03135	-7.95907	23.8279
-7.13009	-8.17617	23.7645
-7.24038	-8.39911	23.7267
-7.36162	-8.62651	23.7157
-7.49311	-8.85683	23.7323
-7.63408	-9.08833	23.7775
-7.78365	-9.31907	23.852
-7.94082	-9.54693	23.9563
-8.10448	-9.76953	24.0906
-8.27339	-9.98433	24.2549
-8.44619	-10.1886	24.4489
-8.62135	-10.3794	24.6717
-8.79723	-10.5539	24.9223
-8.97206	-10.7089	25.1988
-9.14394	-10.8413	25.4991
-9.31086	-10.9484	25.8205
-9.47075	-11.0274	26.1596
-9.62147	-11.0757	26.5127
-9.76089	-11.0915	26.8754
-9.88689	-11.073	27.2429
-9.99746	-11.0195	27.6102
-10.0907	-10.9306	27.9719
-10.1649	-10.8068	28.3225
-10.2186	-10.6494	28.6566
-10.2507	-10.4604	28.9689
-10.2604	-10.2426	29.2546
-10.2471	-9.99939	29.5092
-10.2109	-9.73476	29.7289
-10.1521	-9.45317	29.9107
-10.0714	-9.15935	30.0524
-9.9701	-8.8582	30.1526
-9.8496	-8.55456	30.2106
-9.71174	-8.25316	30.2267
-9.55861	-7.9584	30.202
-9.39249	-7.6743	30.138
-9.2158	-7.40438	30.0371
-9.03105	-7.15165	29.9018
-8.84076	-6.91857	29.7351
-8.64743	-6.70704	29.5403
-8.45347	-6.51841	29.3207
-8.26116	-6.35359	29.0797
-8.07264	-6.21303	28.8207
-7.88986	-6.09681	28.5468
-7.71458	-6.00469	28.2612
-7.54837	-5.93621	27.967
-7.39257	-5.89071	27.6667
-7.24835	-5.86739	27.3632
-7.11667	-5.86538	27.0587
-6.99833	-5.88375	26.7556
-6.89394	-5.92156	26.456
-6.80399	-5.9779	26.1617
-6.72882	-6.05186	25.8747
-6.66866	-6.14259	25.5967
-6.62363	-6.24928	25.3294
-6.59378	-6.37114	25.0742
-6.57908	-6.50746	24.8328
-6.57942	-6.65751	24.6065
-6.59464	-6.82062	24.397
-6.62453	-6.99608	24.2054
-6.66885	-7.1832	24.0334
-6.7273	-7.38121	23.8822
-6.79952	-7.58932	23.7532
-6.88512	-7.80663	23.6479
-6.98366	-8.03213	23.5674
-7.09463	-8.26469	23.5132
-7.21747	-8.50302	23.4865
-7.35151	-8.74563	23.4884
-7.49603	-8.99085	23.52
-7.65018	-9.23679	23.5822
-7.81301	-9.4813	23.6758
-7.98346	-9.72204	23.8012
-8.1603	-9.95638	23.9587
-8.3422	-10.1815	24.1482
-8.52764	-10.3944	24.3693
-8.71496	-10.5917	24.6209
-8.90236	-10.7704	24.9017
-9.08789	-10.9269	25.2097
-9.26944	-11.0579	25.5423
-9.44483	-11.1603	25.8963
-9.61177	-11.2311	26.2679
-9.76793	-11.2679	26.6528
-9.91098	-11.2684	27.046
-10.0387	-11.2312	27.4421
-10.1488	-11.1556	27.8354
-10.2394	-11.0417	28.2199
-10.3087	-10.8902	28.5895
-10.3553	-10.7031	28.9384
-10.378	-10.4828	29.261
-10.3761	-10.2329	29.552
-10.3493	-9.95757	29.8071
-10.2979	-9.66141	30.0223
-10.2223	-9.3496	30.1949
-10.1237	-9.02749	30.3229
-10.0036	-8.70052	30.4053
-9.86379	-8.37397	30.4422
-9.70642	-8.05287	30.4342
-9.53392	-7.74183	30.3829
-9.34889	-7.44493	30.2908
-9.15405	-7.16567	30.1605
-8.95214	-6.90693	29.9953
-8.74591	-6.67094	29.7986
-8.53802	-6.45935	29.5741
-8.331	-6.27323	29.3255
-8.12722	-6.11314	29.0565
-7.92887	-5.97921	28.7707
-7.73791	-5.87122	28.4714
-7.55608	-5.78863	28.1619
-7.38489	-5.73071	27.8452
-7.22564	-5.69657	27.5241
-7.0794	-5.68521	27.2013
-6.94706	-5.6956	26.8791
-6.82931	-5.72669	26.5598
-6.72669	-5.77744	26.2454
-6.63957	-5.84687	25.9379
-6.56821	-5.93403	25.6391
-6.51276	-6.03805	25.3506
-6.47327	-6.15811	25.074
-6.44971	-6.29345	24.8111
-6.44198	-6.44337	24.5631
-6.44993	-6.60717	24.3317
-6.47335	-6.78421	24.1182
-6.51201	-6.97383	23.9242
-6.56562	-7.17534	23.751
-6.63384	-7.38801	23.6002
-6.71632	-7.61106	23.473
-6.81264	-7.84357	23.3711
-6.92234	-8.08452	23.2958
-7.04489	-8.33274	23.2484
-7.1797	-8.58687	23.2303
-7.32609	-8.84534	23.2429
-7.48327	-9.10635	23.2871
-7.65038	-9.36784	23.3641
-7.82641	-9.6275	23.4746
-8.0102	-9.88273	23.6192
-8.20046	-10.1307	23.7982
-8.39572	-10.3682	24.0114
-8.59437	-10.5919	24.2583
-8.7946	-10.7983	24.5378
-8.99442	-10.9837	24.8483
-9.1917	-11.1443	25.1875
-9.38416	-11.2766	25.5526
-9.56937	-11.377	25.9398
-9.74484	-11.4423	26.345
-9.90802	-11.4699	26.7631
-10.0564	-11.4574	27.1886
-10.1874	-11.4036	27.6153
-10.2989	-11.3077	28.037
-10.3885	-11.1701	28.4469
-10.4546	-10.992	28.8385
-10.4956	-10.7759	29.2051
-10.5104	-10.5248	29.5409
-10.4983	-10.243	29.8403
-10.4593	-9.93526	30.0987
-10.3937	-9.60714	30.3123
-10.3024	-9.26445	30.4784
-10.1867	-8.91321	30.5953
-10.0484	-8.55941	30.6625
-9.88966	-8.20881	30.6804
-9.71307	-7.86676	30.6505
-9.52135	-7.53809	30.5748
-9.31742	-7.22696	30.4563
-9.10427	-6.93685	30.2984
-8.88493	-6.67051	30.1048
-8.66236	-6.42999	29.8795
-8.43938	-6.21665	29.6266
-8.21867	-6.03127	29.3501
-8.00268	-5.87411	29.0539
-7.79366	-5.74498	28.7419
-7.59357	-5.64334	28.4177
-7.40415	-5.56838	28.0844
-7.22687	-5.51911	27.7454
-7.06297	-5.49441	27.4033
-6.91346	-5.49311	27.0608
-6.77913	-5.51401	26.7204
-6.66061	-5.55594	26.3841
-6.55832	-5.61779	26.054
-6.47258	-5.6985	25.732
-6.40355	-5.79711	25.4199
-6.3513	-5.91272	25.1193
-6.31581	-6.04453	24.8318
-6.297	-6.19179	24.5589
-6.29471	-6.35384	24.3022
-6.30875	-6.53004	24.0632
-6.33888	-6.71976	23.8433
-6.38483	-6.92241	23.644
-6.44629	-7.13735	23.4667
-6.52292	-7.36388	23.3131
-6.61435	-7.60124	23.1846
-6.72016	-7.84856	23.0826
-6.83987	-8.10481	23.0089
-6.97296	-8.36881	22.9647
-7.11882	-8.63915	22.9517
-7.27678	-8.9142	22.9711
-7.44603	-9.19207	23.0243
-7.62566	-9.47057	23.1124
-7.81463	-9.74721	23.2363
-8.01175	-10.0192	23.3967
-8.21563	-10.2833	23.5939
-8.42474	-10.5363	23.8279
-8.63733	-10.7743	24.0981
-8.85146	-10.9935	24.4034
-9.06499	-11.1898	24.7421
-9.27561	-11.359	25.1116
-9.48081	-11.4971	25.5088
-9.67796	-11.6002	25.9297
-9.86432	-11.6647	26.3695
-10.0371	-11.6876	26.8227
-10.1935	-11.6666	27.283
-10.3308	-11.6001	27.7437
-10.4465	-11.4875	28.1977
-10.5383	-11.3294	28.6375
-10.6042	-11.1273	29.0558
-10.6425	-10.8841	29.4454
-10.6522	-10.6034	29.7999
-10.6326	-10.2903	30.1133
-10.5838	-9.95023	30.3807
-10.5062	-9.58952	30.5981
-10.4009	-9.21476	30.7631
-10.2696	-8.8327	30.874
-10.1143	-8.44998	30.9307
-9.93762	-8.07288	30.9342
-9.74237	-7.70717	30.8862
-9.53165	-7.35794	30.7897
-9.30873	-7.02951	30.648
-9.07692	-6.72539	30.4652
-8.83951	-6.44823	30.2456
-8.5997	-6.19992	29.9936
-8.36053	-5.98161	29.7138
-8.12482	-5.7938	29.4105
-7.89514	-5.63644	29.0881
-7.6738	-5.50904	28.7505
-7.46282	-5.41076	28.4014
-7.26392	-5.34051	28.0444
-7.07858	-5.29706	27.6826
-6.90797	-5.27906	27.3188
-6.75307	-5.28513	26.9558
-6.6146	-5.31395	26.5958
-6.49309	-5.36421	26.241
-6.38892	-5.4347	25.8935
-6.3023	-5.52433	25.555
-6.23334	-5.63208	25.2274
-6.18203	-5.75705	24.9123
-6.1483	-5.89846	24.6111
-6.13201	-6.05558	24.3255
-6.13295	-6.22779	24.0569
-6.15089	-6.41449	23.8068
-6.18557	-6.61515	23.5768
-6.2367	-6.82921	23.3683
-6.30397	-7.0561	23.1828
-6.38701	-7.29521	23.022
-6.48548	-7.54584	22.8874
-6.59894	-7.80715	22.7807
-6.72696	-8.07818	22.7034
-6.869	-8.35777	22.6572
-7.0245	-8.64452	22.6437
-7.19277	-8.93679	22.6645
-7.37302	-9.23262	22.721
-7.56436	-9.52976	22.8146
-7.76573	-9.82558	22.9463
-7.9759	-10.1171	23.1171
-8.19347	-10.401	23.3274
-8.41683	-10.6735	23.5773
-8.64415	-10.9306	23.8664
-8.8734	-11.168	24.1937
-9.10229	-11.3812	24.5573
-9.32832	-11.5656	24.9549
-9.54881	-11.7165	25.3829
-9.76088	-11.8296	25.8371
-9.96155	-11.9009	26.3124
-10.1477	-11.9268	26.8027
-10.3163	-11.9046	27.3011
-10.4644	-11.8325	27.8002
-10.589	-11.7097	28.2921
-10.6877	-11.5368	28.7685
-10.7582	-11.3155	29.2211
-10.7987	-11.049	29.6421
-10.8079	-10.7415	30.0242
-10.7853	-10.3986	30.3607
-10.7307	-10.0266	30.6464
-10.6448	-9.63258	30.8769
-10.5288	-9.22399	31.0496
-10.3845	-8.80843	31.1631
-10.2144	-8.3933	31.2172
-10.0213	-7.98555	31.2134
-9.8084	-7.59151	31.154
-9.57913	-7.2167	31.0423
-9.33713	-6.8657	30.8825
-9.08606	-6.54216	30.679
-8.82954	-6.24877	30.4368
-8.57104	-5.98733	30.1608
-8.31385	-5.75881	29.8562
-8.061	-5.5635	29.5276
-7.81521	-5.40107	29.1798
-7.57892	-5.27074	28.817
-7.35422	-5.17139	28.4431
-7.1429	-5.10165	28.0618
-6.94642	-5.06001	27.6763
-6.76597	-5.04489	27.2896
-6.60247	-5.05472	26.9044
-6.45661	-5.08798	26.523
-6.32887	-5.14324	26.1475
-6.21956	-5.21918	25.7801
-6.12883	-5.31462	25.4224
-6.05671	-5.42852	25.0762
-6.00315	-5.55994	24.7431
-5.96801	-5.7081	24.4246
-5.9511	-5.87232	24.1223
-5.95217	-6.05201	23.8375
-5.97097	-6.24663	23.5719
-6.00721	-6.45572	23.3268
-6.06057	-6.67882	23.1039
-6.13075	-6.91545	22.9047
-6.2174	-7.16508	22.7308
-6.32016	-7.42714	22.5839
-6.43866	-7.70089	22.4657
-6.57246	-7.98546	22.378
-6.72109	-8.27979	22.3225
-6.884	-8.58256	22.3011
-7.06057	-8.89219	22.3154
-7.25006	-9.20676	22.3671
-7.4516	-9.52401	22.4579
-7.66418	-9.84127	22.5892
-7.88659	-10.1555	22.762
-8.11745	-10.4631	22.9773
-8.35515	-10.7603	23.2353
-8.59782	-11.0426	23.536
-8.84336	-11.3054	23.8785
-9.0894	-11.5438	24.2614
-9.33331	-11.7525	24.6821
-9.57223	-11.9263	25.1375
-9.80307	-12.0603	25.6231
-10.0226	-12.1496	26.1335
-10.2273	-12.1902	26.6624
-10.414	-12.1784	27.2024
-10.5791	-12.1121	27.7453
-10.7195	-11.9899	28.2823
-10.8323	-11.8121	28.8043
-10.9147	-11.5802	29.3021
-10.9648	-11.2976	29.7665
-10.9809	-10.9687	30.1893
-10.9621	-10.5996	30.563
-10.9084	-10.1973	30.8813
-10.8202	-9.76974	31.1394
-10.6989	-9.32536	31.334
-10.5463	-8.87269	31.4634
-10.3651	-8.42012	31.5276
-10.1584	-7.97552	31.5281
-9.92976	-7.54604	31.4676
-9.68298	-7.13784	31.3499
-9.42208	-6.75607	31.1796
-9.15113	-6.40471	30.9619
-8.87411	-6.08667	30.7024
-8.59489	-5.80381	30.4066
-8.31706	-5.55707	30.0802
-8.04394	-5.34658	29.7284
-7.77852	-5.17181	29.3564
-7.52341	-5.03171	28.9688
-7.28087	-4.92488	28.5699
-7.05278	-4.84964	28.1635
-6.8407	-4.80421	27.753
-6.64584	-4.78674	27.3415
-6.46915	-4.7954	26.9319
-6.31128	-4.82847	26.5264
-6.1727	-4.88433	26.1273
-6.05367	-4.96152	25.7365
-5.95428	-5.05874	25.356
-5.87453	-5.17486	24.9872
-5.8143	-5.30892	24.6318
-5.77338	-5.46011	24.2913
-5.75155	-5.62775	23.9672
-5.74853	-5.81128	23.6609
-5.764	-6.01024	23.3739
-5.79767	-6.22424	23.1077
-5.84921	-6.45292	22.8638
-5.9183	-6.69592	22.6437
-6.00463	-6.95287	22.4492
-6.10784	-7.22331	22.282
-6.2276	-7.50669	22.1438
-6.36353	-7.80231	22.0366
-6.51521	-8.10927	21.9622
-6.68217	-8.42645	21.9226
-6.86387	-8.75242	21.9198
-7.05965	-9.08543	21.9557
-7.26874	-9.42334	22.0322
-7.49023	-9.7636	22.1511
-7.72302	-10.1032	22.314
-7.96579	-10.4385	22.522
-8.21701	-10.7657	22.776
-8.47488	-11.0802	23.0765
-8.73733	-11.3769	23.4231
-9.00196	-11.6506	23.8149
-9.2661	-11.8954	24.2497
-9.52679	-12.1057	24.7249
-9.78076	-12.2754	25.2361
-10.0245	-12.399	25.7782
-10.2544	-12.4713	26.3448
-10.4666	-12.4877	26.9282
-10.6574	-12.4449	27.5197
-10.8229	-12.3407	28.1097
-10.9598	-12.1744	28.6883
-11.0649	-11.947	29.2448
-11.1354	-11.6612	29.769
-11.1694	-11.3216	30.251
-11.1655	-10.9342	30.6819
-11.1231	-10.5067	31.054
-11.0425	-10.0477	31.3613
-10.9247	-9.56665	31.5994
-10.7716	-9.07322	31.7658
-10.586	-8.57707	31.86
-10.371	-8.08738	31.8832
-10.1306	-7.6125	31.8382
-9.86887	-7.15971	31.7291
-9.59028	-6.73508	31.561
-9.29934	-6.34336	31.3397
-9.00056	-5.98801	31.0714
-8.69824	-5.67126	30.7626
-8.39647	-5.3942	30.4194
-8.09897	-5.15699	30.048
-7.80912	-4.959	29.654
-7.52986	-4.79899	29.2426
-7.26372	-4.67527	28.8186
-7.01281	-4.58587	28.3862
-6.77884	-4.52866	27.949
-6.56316	-4.50148	27.5106
-6.36679	-4.50218	27.0736
-6.19044	-4.52875	26.6407
-6.03457	-4.57931	26.2142
-5.89944	-4.65217	25.7959
-5.78512	-4.74586	25.3879
-5.69154	-4.85909	24.9916
-5.61856	-4.99081	24.6086
-5.5659	-5.14011	24.2404
-5.53329	-5.30631	23.8884
-5.52039	-5.48884	23.554
-5.52686	-5.68727	23.2387
-5.55236	-5.9013	22.9438
-5.59654	-6.13065	22.6708
-5.65907	-6.37511	22.4214
-5.73964	-6.63446	22.1971
-5.83794	-6.90845	21.9998
-5.95364	-7.19675	21.8311
-6.08645	-7.49889	21.693
-6.23601	-7.81427	21.5876
-6.40197	-8.14204	21.517
-6.58387	-8.48109	21.4833
-6.78122	-8.82998	21.4887
-6.9934	-9.1869	21.5355
-7.21965	-9.54959	21.6258
-7.45905	-9.91529	21.7617
-7.71049	-10.2807	21.9449
-7.9726	-10.642	22.1771
-8.24378	-10.9948	22.4593
-8.52211	-11.3339	22.7921
-8.80534	-11.6538	23.1753
-9.09088	-11.9484	23.6079
-9.37579	-12.2112	24.0878
-9.6568	-12.4355	24.6117
-9.93027	-12.6146	25.1752
